"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
MT-033,"Garfield County",1.43,24,-1.3279,2.76
MT-035,"Glacier County",5,97,1.4304,3.57
MT-037,"Golden Valley County",2.99,79,0.2693,2.72
MT-039,"Granite County",2.54,62,-0.2952,2.84
MT-041,"Hill County",3.23,87,0.6261,2.6
MT-043,"Jefferson County",2.48,64,-0.2548,2.73
MT-045,"Judith Basin County",2.4,40,-1.2215,3.62
MT-047,"Lake County",4.77,119,1.9706,2.8
MT-049,"Lewis and Clark County",2.14,47,-0.9165,3.06
MT-051,"Liberty County",2.57,66,-0.0034,2.57
MT-053,"Lincoln County",4.92,119,2.276,2.64
MT-055,"McCone County",2.2,47,-0.6806,2.88
MT-057,"Madison County",2.59,56,-0.2698,2.86
MT-059,"Meagher County",3.03,63,-0.2951,3.33
MT-061,"Mineral County",4,111,1.3489,2.65
MT-063,"Missoula County",3.7,98,0.9792,2.72
MT-065,"Musselshell County",2.75,71,0.0501,2.7
MT-067,"Park County",4.1,107,1.1327,2.97
MT-069,"Petroleum County",2.56,66,-0.1419,2.7
MT-071,"Phillips County",2.57,63,-0.3076,2.88
MT-073,"Pondera County",2.54,58,-0.5303,3.07
MT-075,"Powder River County",2.49,61,-0.2894,2.78
MT-077,"Powell County",3.27,83,0.3871,2.88
MT-079,"Prairie County",2.09,46,-0.6336,2.72
MT-081,"Ravalli County",2.65,77,-0.0514,2.7
MT-083,"Richland County",2.34,49,-0.6693,3.01
MT-085,"Roosevelt County",2.24,42,-0.7824,3.02
MT-087,"Rosebud County",2.63,73,0.0272,2.6
MT-089,"Sanders County",3.79,110,1.3108,2.48
MT-091,"Sheridan County",2.21,39,-0.8641,3.07
MT-093,"Silver Bow County",2.24,55,-0.4718,2.71
MT-095,"Stillwater County",3.46,103,0.8891,2.57
MT-097,"Sweet Grass County",2.29,48,-0.3736,2.66
MT-099,"Teton County",1.78,32,-1.2652,3.05
MT-101,"Toole County",2.9,69,0.1107,2.79
MT-103,"Treasure County",2.34,69,-0.188,2.53
MT-105,"Valley County",2.19,39,-0.7584,2.95
MT-107,"Wheatland County",2.12,37,-0.8737,2.99
MT-109,"Wibaux County",2.45,44,-0.7313,3.18
MT-111,"Yellowstone County",2.75,94,0.341,2.41
NE-001,"Adams County",2.73,40,-1.3148,4.04
NE-003,"Antelope County",1.16,3,-2.8633,4.02
NE-005,"Arthur County",1.55,17,-1.6639,3.21
NE-007,"Banner County",0.62,2,-2.0696,2.69
NE-009,"Blaine County",1.34,11,-2.1152,3.46
NE-011,"Boone County",1.61,7,-2.5091,4.12
NE-013,"Box Butte County",1.45,15,-1.5331,2.98
NE-015,"Boyd County",2.17,27,-1.6442,3.81
