"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
ID-037,"Custer County",51.4,77,0.742,50.7
ID-039,"Elmore County",61,80,0.93,60.1
ID-041,"Franklin County",60.3,91,2.056,58.2
ID-043,"Fremont County",55.3,74,0.625,54.7
ID-045,"Gem County",62.1,48,-0.963,63.1
ID-047,"Gooding County",64.6,89,1.799,62.8
ID-049,"Idaho County",53.5,67,0.162,53.3
ID-051,"Jefferson County",60.9,82,1.143,59.8
ID-053,"Jerome County",64.3,86,1.623,62.7
ID-055,"Kootenai County",57.7,67,0.017,57.7
ID-057,"Latah County",58.5,79,0.703,57.8
ID-059,"Lemhi County",52.5,70,0.478,52
ID-061,"Lewis County",57.2,70,0.248,57
ID-063,"Lincoln County",62.2,82,1.257,60.9
ID-065,"Madison County",59.1,88,1.384,57.7
ID-067,"Minidoka County",61.6,73,0.536,61.1
ID-069,"Nez Perce County",61.2,78,0.61,60.6
ID-071,"Oneida County",61.5,85,1.458,60
ID-073,"Owyhee County",60.9,72,0.444,60.5
ID-075,"Payette County",65.5,57,-0.46,66
ID-077,"Power County",59.8,54,-0.361,60.2
ID-079,"Shoshone County",54.5,67,-0.057,54.6
ID-081,"Teton County",54.4,70,0.382,54
ID-083,"Twin Falls County",61.9,80,1.083,60.8
ID-085,"Valley County",51.7,74,0.487,51.2
ID-087,"Washington County",61.4,56,-0.322,61.7
IL-001,"Adams County",74.3,92,1.83,72.5
IL-003,"Alexander County",77.1,103,2.168,74.9
IL-005,"Bond County",75.4,102,2.351,73
IL-007,"Boone County",69.9,93,1.824,68.1
IL-009,"Brown County",73.4,88,1.317,72.1
IL-011,"Bureau County",71.6,92,1.865,69.7
IL-013,"Calhoun County",75.6,106,2.632,73
IL-015,"Carroll County",70.6,97,2.273,68.3
IL-017,"Cass County",73.6,87,1.311,72.3
IL-019,"Champaign County",73.3,102,2.441,70.9
IL-021,"Christian County",74,98,1.957,72
IL-023,"Clark County",74.1,96,2.081,72
IL-025,"Clay County",75.1,102,2.133,73
IL-027,"Clinton County",75.9,100,2.294,73.6
IL-029,"Coles County",74,99,2.138,71.9
IL-031,"Cook County",70.8,99,2.47,68.3
IL-033,"Crawford County",74.6,94,1.866,72.7
IL-035,"Cumberland County",74.3,97,2.019,72.3
IL-037,"DeKalb County",70.2,92,1.763,68.4
IL-039,"De Witt County",73.5,103,2.559,70.9
IL-041,"Douglas County",73.8,101,2.336,71.5
IL-043,"DuPage County",70.8,98,2.408,68.4
IL-045,"Edgar County",73,89,1.545,71.5
IL-047,"Edwards County",75.7,98,1.988,73.7
IL-049,"Effingham County",74.2,97,1.751,72.4
IL-051,"Fayette County",74.6,96,1.908,72.7
IL-053,"Ford County",72.7,98,2.361,70.3
IL-055,"Franklin County",75.6,101,2.003,73.6
IL-057,"Fulton County",73.6,98,1.956,71.6
IL-059,"Gallatin County",76,93,1.534,74.5
IL-061,"Greene County",75.2,105,2.327,72.9
IL-063,"Grundy County",72,99,2.47,69.5
IL-065,"Hamilton County",76.1,107,2.445,73.7
IL-067,"Hancock County",73.7,96,1.771,71.9
IL-069,"Hardin County",75.5,86,1.208,74.3
IL-071,"Henderson County",73.2,100,2.008,71.2
IL-073,"Henry County",72,97,2.063,69.9
IL-075,"Iroquois County",72.4,99,2.167,70.2
IL-077,"Jackson County",75.5,92,1.821,73.7
IL-079,"Jasper County",74.4,95,1.682,72.7
IL-081,"Jefferson County",76,108,2.526,73.5
IL-083,"Jersey County",76.1,110,2.89,73.2
IL-085,"Jo Daviess County",69.6,90,1.738,67.9
IL-087,"Johnson County",75.3,85,1.329,74
IL-089,"Kane County",70,85,1.786,68.2
IL-091,"Kankakee County",71.7,94,2.06,69.6
IL-093,"Kendall County",71,88,1.91,69.1
IL-095,"Knox County",72.2,97,1.806,70.4
IL-097,"Lake County",69.3,95,2.216,67.1
IL-099,"LaSalle County",71.7,96,2.051,69.6
IL-101,"Lawrence County",74.8,91,1.407,73.4
IL-103,"Lee County",70.9,92,1.9,69
IL-105,"Livingston County",72.9,107,2.838,70.1
IL-107,"Logan County",73.4,93,1.683,71.7
IL-109,"McDonough County",73,93,1.631,71.4
IL-111,"McHenry County",69.5,93,2.016,67.5
IL-113,"McLean County",73.2,109,2.91,70.3
IL-115,"Macon County",74.3,106,2.725,71.6
IL-117,"Macoupin County",75.1,106,2.605,72.5
IL-119,"Madison County",75.9,100,2.167,73.7
IL-121,"Marion County",75.6,108,2.543,73.1
IL-123,"Marshall County",72.5,101,2.242,70.3
IL-125,"Mason County",73.9,93,1.682,72.2
IL-127,"Massac County",76.3,88,1.528,74.8
IL-129,"Menard County",73.4,83,1.25,72.2
IL-131,"Mercer County",73.1,103,2.469,70.6
IL-133,"Monroe County",76.3,103,2.415,73.9
IL-135,"Montgomery County",74.5,103,2.24,72.3
IL-137,"Morgan County",73.8,95,1.685,72.1
IL-139,"Moultrie County",74.1,102,2.3,71.8
IL-141,"Ogle County",70.5,94,1.939,68.6
IL-143,"Peoria County",73.6,106,2.808,70.8
IL-145,"Perry County",75.8,102,2.224,73.6
IL-147,"Piatt County",74,106,2.908,71.1
IL-149,"Pike County",74.4,99,2.014,72.4
IL-151,"Pope County",75.2,84,1.035,74.2
IL-153,"Pulaski County",77.1,104,2.201,74.9
IL-155,"Putnam County",72.1,89,1.715,70.4
IL-157,"Randolph County",75.8,99,2.138,73.7
IL-159,"Richland County",74.7,92,1.472,73.2
IL-161,"Rock Island County",73.2,109,2.977,70.2
IL-163,"St. Clair County",75.6,89,1.621,74
IL-165,"Saline County",75.4,92,1.381,74
IL-167,"Sangamon County",73.8,92,1.66,72.1
IL-169,"Schuyler County",73.4,88,1.359,72
IL-171,"Scott County",74.2,96,1.677,72.5
IL-173,"Shelby County",74,97,1.787,72.2
IL-175,"Stark County",71.8,94,1.767,70
IL-177,"Stephenson County",69.8,93,2.036,67.8
IL-179,"Tazewell County",73.6,105,2.525,71.1
IL-181,"Union County",75.8,95,1.841,74
IL-183,"Vermilion County",72.5,86,1.566,70.9
IL-185,"Wabash County",75.4,94,1.605,73.8
IL-187,"Warren County",72.4,95,1.795,70.6
IL-189,"Washington County",75.7,99,2.151,73.5
IL-191,"Wayne County",76.2,109,2.782,73.4
IL-193,"White County",76.4,103,2.215,74.2
IL-195,"Whiteside County",71.8,102,2.466,69.3
IL-197,"Will County",71.3,86,1.965,69.3
IL-199,"Williamson County",75,88,1.441,73.6
IL-201,"Winnebago County",70.2,92,1.75,68.5
IL-203,"Woodford County",73,107,2.888,70.1
IN-001,"Adams County",72.4,113,3.215,69.2
IN-003,"Allen County",71.7,106,2.717,69
IN-005,"Bartholomew County",73,95,1.215,71.8
IN-007,"Benton County",71.8,89,1.874,69.9
IN-009,"Blackford County",72.7,108,2.762,69.9
IN-011,"Boone County",71.2,91,1.536,69.7
IN-013,"Brown County",72.2,89,1.145,71.1
IN-015,"Carroll County",72,97,2.029,70
IN-017,"Cass County",71.4,93,1.772,69.6
IN-019,"Clark County",74.5,101,2.031,72.5
IN-021,"Clay County",73.6,103,2.305,71.3
IN-023,"Clinton County",71.7,95,1.926,69.8
IN-025,"Crawford County",72.9,71,0.538,72.4
IN-027,"Daviess County",74.4,101,2.001,72.4
IN-029,"Dearborn County",72.5,95,1.503,71
IN-031,"Decatur County",72,84,0.98,71
IN-033,"DeKalb County",70.6,103,2.394,68.2
IN-035,"Delaware County",72.7,109,2.763,69.9
IN-037,"Dubois County",73.7,86,1.118,72.6
IN-039,"Elkhart County",69.7,86,1.807,67.9
IN-041,"Fayette County",70.9,80,0.872,70
IN-043,"Floyd County",74.9,105,2.44,72.5
IN-045,"Fountain County",72.3,90,1.683,70.6
IN-047,"Franklin County",71.5,81,0.95,70.6
IN-049,"Fulton County",70.8,92,1.93,68.9
IN-051,"Gibson County",75.6,98,1.867,73.7
IN-053,"Grant County",72.3,103,2.321,70
IN-055,"Greene County",73.2,97,1.783,71.4
IN-057,"Hamilton County",71.7,89,1.484,70.2
IN-059,"Hancock County",72.2,96,1.633,70.6
IN-061,"Harrison County",74.5,103,2.002,72.5
IN-063,"Hendricks County",71.9,96,1.627,70.3
IN-065,"Henry County",70.9,86,1.262,69.6
IN-067,"Howard County",71.8,97,1.909,69.9
IN-069,"Huntington County",71,90,1.416,69.6
IN-071,"Jackson County",72.9,91,1.148,71.8
IN-073,"Jasper County",70.9,79,1.374,69.5
IN-075,"Jay County",72.1,104,2.696,69.4
IN-077,"Jefferson County",72.9,88,1.145,71.8
IN-079,"Jennings County",72.4,78,0.707,71.7
IN-081,"Johnson County",72.8,98,1.783,71
IN-083,"Knox County",75,100,1.865,73.1
IN-085,"Kosciusko County",70.6,94,2.064,68.5
IN-087,"LaGrange County",69.3,83,1.46,67.8
IN-089,"Lake County",70.5,83,1.745,68.8
IN-091,"LaPorte County",70.1,85,1.83,68.3
IN-093,"Lawrence County",72.3,83,0.951,71.3
IN-095,"Madison County",72.3,102,2.116,70.2
IN-097,"Marion County",72.7,97,1.789,70.9
IN-099,"Marshall County",70.2,89,2.01,68.2
IN-101,"Martin County",73.5,99,1.733,71.8
IN-103,"Miami County",71.6,97,1.833,69.8
IN-105,"Monroe County",71.8,84,0.955,70.8
IN-107,"Montgomery County",71.8,97,1.869,69.9
IN-109,"Morgan County",72.3,93,1.339,71
IN-111,"Newton County",71.3,81,1.531,69.8
IN-113,"Noble County",70,93,1.906,68.1
IN-115,"Ohio County",73.2,96,1.838,71.4
IN-117,"Orange County",72.7,83,1.012,71.7
IN-119,"Owen County",72.4,94,1.399,71
IN-121,"Parke County",72.8,97,1.78,71
IN-123,"Perry County",73,57,-0.198,73.2
IN-125,"Pike County",74.9,97,1.825,73.1
IN-127,"Porter County",70.2,86,1.836,68.4
IN-129,"Posey County",76.5,100,1.887,74.6
IN-131,"Pulaski County",70.6,84,1.543,69.1
IN-133,"Putnam County",71.8,92,1.366,70.4
IN-135,"Randolph County",71.3,102,2.196,69.1
IN-137,"Ripley County",71.6,81,0.861,70.7
IN-139,"Rush County",71.8,91,1.467,70.3
IN-141,"St. Joseph County",69.8,88,1.905,67.9
IN-143,"Scott County",73.5,93,1.5,72
IN-145,"Shelby County",73,95,1.754,71.2
IN-147,"Spencer County",74.5,79,0.796,73.7
IN-149,"Starke County",70.5,87,1.827,68.7
IN-151,"Steuben County",69.1,92,1.657,67.4
IN-153,"Sullivan County",74.7,106,2.593,72.1
IN-155,"Switzerland County",73.3,97,1.781,71.5
IN-157,"Tippecanoe County",72.3,100,2.15,70.2
IN-159,"Tipton County",71.6,95,1.76,69.8
IN-161,"Union County",70.6,73,0.612,70
IN-163,"Vanderburgh County",76.4,102,2.04,74.4
IN-165,"Vermillion County",72.9,87,1.481,71.4
IN-167,"Vigo County",74.3,106,2.542,71.8
IN-169,"Wabash County",71.4,95,1.676,69.7
IN-171,"Warren County",72.2,89,1.753,70.4
IN-173,"Warrick County",75.4,93,1.652,73.7
IN-175,"Washington County",73,93,1.554,71.4
IN-177,"Wayne County",70.1,71,0.699,69.4
IN-179,"Wells County",72,101,2.507,69.5
IN-181,"White County",71.4,85,1.688,69.7
IN-183,"Whitley County",70.6,95,1.832,68.8
IA-001,"Adair County",72.5,108,3.032,69.5
IA-003,"Adams County",72.6,104,2.661,69.9
IA-005,"Allamakee County",67.7,69,0.413,67.3
IA-007,"Appanoose County",72.6,98,1.841,70.8
IA-009,"Audubon County",71.7,107,2.79,68.9
IA-011,"Benton County",70.6,94,1.778,68.8
IA-013,"Black Hawk County",70.8,103,2.355,68.4
IA-015,"Boone County",72.8,111,3.317,69.5
IA-017,"Bremer County",70.1,102,2.352,67.7
IA-019,"Buchanan County",69.5,92,1.592,67.9
IA-021,"Buena Vista County",71.5,110,3.322,68.2
IA-023,"Butler County",70.4,103,2.198,68.2
IA-025,"Calhoun County",71.8,110,2.742,69.1
IA-027,"Carroll County",72.2,111,3.338,68.9
IA-029,"Cass County",72.4,103,2.555,69.8
IA-031,"Cedar County",71.6,98,1.999,69.6
IA-033,"Cerro Gordo County",69.7,100,2.138,67.6
IA-035,"Cherokee County",71.4,109,3.165,68.2
IA-037,"Chickasaw County",69.4,101,2.402,67
IA-039,"Clarke County",73.2,109,2.957,70.2
IA-041,"Clay County",71.3,111,3.52,67.8
IA-043,"Clayton County",68.5,75,0.717,67.8
IA-045,"Clinton County",72.1,106,2.677,69.4
IA-047,"Crawford County",72.5,111,3.67,68.8
IA-049,"Dallas County",73.7,112,3.506,70.2
IA-051,"Davis County",73,100,2.051,70.9
IA-053,"Decatur County",73.4,107,2.98,70.4
IA-055,"Delaware County",68.9,84,1.313,67.6
IA-057,"Des Moines County",73,95,1.847,71.2
IA-059,"Dickinson County",70.6,108,3.338,67.3
IA-061,"Dubuque County",69.4,86,1.421,68
IA-063,"Emmet County",70.1,105,2.648,67.5
IA-065,"Fayette County",68.5,87,1.324,67.2
IA-067,"Floyd County",69.9,102,2.2,67.7
IA-069,"Franklin County",70.2,105,2.358,67.8
IA-071,"Fremont County",73.8,99,2.014,71.8
IA-073,"Greene County",72.3,108,2.881,69.4
IA-075,"Grundy County",70.6,100,2.14,68.5
IA-077,"Guthrie County",72.3,108,2.859,69.4
IA-079,"Hamilton County",70.7,97,1.968,68.7
IA-081,"Hancock County",69.6,95,1.848,67.8
IA-083,"Hardin County",70.8,106,2.368,68.4
IA-085,"Harrison County",73.4,109,3.186,70.2
IA-087,"Henry County",72.7,94,1.675,71
IA-089,"Howard County",68,96,2.046,66
IA-091,"Humboldt County",70.9,101,2.204,68.7
IA-093,"Ida County",71.8,110,3.185,68.6
IA-095,"Iowa County",71.8,103,2.391,69.4
IA-097,"Jackson County",70.5,91,1.772,68.7
IA-099,"Jasper County",72.6,105,2.72,69.9
IA-101,"Jefferson County",72.6,98,1.823,70.8
IA-103,"Johnson County",71.7,95,1.903,69.8
IA-105,"Jones County",70.3,87,1.703,68.6
IA-107,"Keokuk County",72.5,104,2.526,70
IA-109,"Kossuth County",70.2,103,2.189,68
IA-111,"Lee County",73.6,96,1.797,71.8
IA-113,"Linn County",70.7,94,1.882,68.8
IA-115,"Louisa County",73.4,105,2.695,70.7
IA-117,"Lucas County",72.8,103,2.395,70.4
IA-119,"Lyon County",70.7,108,2.946,67.8
IA-121,"Madison County",73.1,109,2.8,70.3
IA-123,"Mahaska County",72.9,105,2.613,70.3
IA-125,"Marion County",72.8,101,2.023,70.8
IA-127,"Marshall County",71.5,103,2.431,69.1
IA-129,"Mills County",73.4,100,2.049,71.4
IA-131,"Mitchell County",69.1,100,2.298,66.8
IA-133,"Monona County",72.6,107,2.817,69.8
IA-135,"Monroe County",72.7,98,1.898,70.8
IA-137,"Montgomery County",72.6,98,1.861,70.7
IA-139,"Muscatine County",72.8,104,2.478,70.3
IA-141,"O'Brien County",71.2,110,3.262,67.9
IA-143,"Osceola County",70.8,112,3.513,67.3
IA-145,"Page County",73.5,102,2.417,71.1
IA-147,"Palo Alto County",70.8,108,2.821,68
IA-149,"Plymouth County",71.9,107,3.212,68.7
IA-151,"Pocahontas County",71,104,2.366,68.6
IA-153,"Polk County",73.4,108,2.814,70.6
IA-155,"Pottawattamie County",73.2,104,2.62,70.6
IA-157,"Poweshiek County",72.2,110,3.016,69.2
IA-159,"Ringgold County",73.2,107,3.139,70.1
IA-161,"Sac County",72.3,111,3.7,68.6
IA-163,"Scott County",73,112,3.226,69.8
IA-165,"Shelby County",72.5,111,3.147,69.4
IA-167,"Sioux County",71.2,106,2.888,68.3
IA-169,"Story County",72.3,108,2.881,69.4
IA-171,"Tama County",71,100,2.286,68.7
IA-173,"Taylor County",73.2,105,3.062,70.1
IA-175,"Union County",72.5,107,2.709,69.8
IA-177,"Van Buren County",73,92,1.647,71.4
IA-179,"Wapello County",73,102,2.21,70.8
IA-181,"Warren County",73.3,100,2.288,71
IA-183,"Washington County",72.5,104,2.469,70
IA-185,"Wayne County",72.6,101,2.221,70.4
IA-187,"Webster County",71.1,100,2.149,69
IA-189,"Winnebago County",69.3,93,1.913,67.4
IA-191,"Winneshiek County",68,92,1.598,66.4
IA-193,"Woodbury County",72,108,2.75,69.3
IA-195,"Worth County",69.4,103,2.239,67.2
IA-197,"Wright County",70,93,1.79,68.2
KS-001,"Allen County",76.2,99,1.836,74.4
KS-003,"Anderson County",76,102,2.15,73.9
KS-005,"Atchison County",75.1,102,2.35,72.8
KS-007,"Barber County",78,103,2.36,75.6
KS-009,"Barton County",75.5,87,1.562,73.9
KS-011,"Bourbon County",75.8,89,1.348,74.5
KS-013,"Brown County",74.6,103,2.418,72.2
KS-015,"Butler County",76.7,104,2.409,74.3
KS-017,"Chase County",75.3,97,1.782,73.5
KS-019,"Chautauqua County",77.2,96,1.827,75.4
KS-021,"Cherokee County",77.1,97,1.872,75.2
KS-023,"Cheyenne County",73.1,107,3.626,69.5
KS-025,"Clark County",78.1,102,2.728,75.4
KS-027,"Clay County",76.4,102,2.892,73.5
KS-029,"Cloud County",76.3,105,3.058,73.2
KS-031,"Coffey County",76.1,101,2.446,73.7
KS-033,"Comanche County",78.2,105,2.778,75.4
KS-035,"Cowley County",76.8,92,1.601,75.2
KS-037,"Crawford County",76.4,96,1.674,74.7
KS-039,"Decatur County",74.3,106,3.379,70.9
KS-041,"Dickinson County",76.9,102,2.938,74
KS-043,"Doniphan County",75,99,2.056,72.9
KS-045,"Douglas County",76.1,103,2.586,73.5
KS-047,"Edwards County",77.1,105,3.159,73.9
KS-049,"Elk County",76.3,98,1.842,74.5
KS-051,"Ellis County",75.3,93,2.352,72.9
KS-053,"Ellsworth County",76.2,91,2.027,74.2
KS-055,"Finney County",75.9,99,3.166,72.7
KS-057,"Ford County",77.1,106,3.435,73.7
KS-059,"Franklin County",76,102,2.354,73.6
KS-061,"Geary County",76.2,102,2.671,73.5
KS-063,"Gove County",75.1,98,3.165,71.9
KS-065,"Graham County",75,96,2.858,72.1
KS-067,"Grant County",75.8,94,2.244,73.6
KS-069,"Gray County",76.6,106,3.359,73.2
KS-071,"Greeley County",72.8,91,1.919,70.9
KS-073,"Greenwood County",75.9,99,2.052,73.8
KS-075,"Hamilton County",74.7,94,2.066,72.6
KS-077,"Harper County",77.9,93,1.652,76.2
KS-079,"Harvey County",77.1,99,2.515,74.6
KS-081,"Haskell County",76,94,2.59,73.4
KS-083,"Hodgeman County",77.2,107,3.594,73.6
KS-085,"Jackson County",75.4,107,2.747,72.7
KS-087,"Jefferson County",75.8,106,2.782,73
KS-089,"Jewell County",74.7,98,2.413,72.3
KS-091,"Johnson County",76.3,108,3.014,73.3
KS-093,"Kearny County",75.3,95,2.615,72.7
KS-095,"Kingman County",77.3,94,1.888,75.4
KS-097,"Kiowa County",77.4,110,3.064,74.3
KS-099,"Labette County",76.9,90,1.486,75.4
KS-101,"Lane County",75.7,104,3.525,72.2
KS-103,"Leavenworth County",76,103,2.725,73.3
KS-105,"Lincoln County",76.2,94,2.412,73.8
KS-107,"Linn County",76.1,101,2.044,74.1
KS-109,"Logan County",74.8,107,3.463,71.3
KS-111,"Lyon County",75.7,101,2.383,73.3
KS-113,"McPherson County",76.8,96,2.565,74.2
KS-115,"Marion County",76.1,98,2.279,73.8
KS-117,"Marshall County",74.7,98,2.038,72.7
KS-119,"Meade County",77.5,102,2.786,74.7
KS-121,"Miami County",76.6,111,3.093,73.5
KS-123,"Mitchell County",75.2,93,1.942,73.3
KS-125,"Montgomery County",77.3,91,1.468,75.8
KS-127,"Morris County",75.2,97,2.15,73.1
KS-129,"Morton County",75,82,1.283,73.7
KS-131,"Nemaha County",74.5,100,2.391,72.1
KS-133,"Neosho County",76.8,98,1.926,74.9
KS-135,"Ness County",76,94,2.805,73.2
KS-137,"Norton County",74.3,97,2.918,71.4
KS-139,"Osage County",76,104,2.739,73.3
KS-141,"Osborne County",74.9,86,1.768,73.1
KS-143,"Ottawa County",76.8,102,3.012,73.8
KS-145,"Pawnee County",76.2,90,2.374,73.8
KS-147,"Phillips County",74.7,95,2.576,72.1
KS-149,"Pottawatomie County",75.4,100,2.216,73.2
KS-151,"Pratt County",77.4,105,2.78,74.6
KS-153,"Rawlins County",73.8,106,3.526,70.3
KS-155,"Reno County",77.2,95,2.205,75
KS-157,"Republic County",75.2,101,2.824,72.4
KS-159,"Rice County",76.2,89,1.776,74.4
KS-161,"Riley County",75.9,100,2.443,73.5
KS-163,"Rooks County",74.9,89,2.061,72.8
KS-165,"Rush County",75.2,86,1.834,73.4
KS-167,"Russell County",75.9,91,2.195,73.7
KS-169,"Saline County",77.2,100,2.884,74.3
KS-171,"Scott County",75,102,3.137,71.9
KS-173,"Sedgwick County",77.6,98,2.262,75.3
KS-175,"Seward County",76.9,98,2.607,74.3
KS-177,"Shawnee County",76.3,106,2.966,73.3
KS-179,"Sheridan County",74.2,96,2.943,71.3
KS-181,"Sherman County",73.3,111,4.07,69.2
KS-183,"Smith County",74.2,89,1.945,72.3
KS-185,"Stafford County",76.5,95,2.207,74.3
KS-187,"Stanton County",75.2,93,1.856,73.3
KS-189,"Stevens County",76.1,95,2.187,73.9
KS-191,"Sumner County",78.1,95,2.014,76.1
KS-193,"Thomas County",73.9,105,3.552,70.3
KS-195,"Trego County",75.2,95,2.836,72.4
KS-197,"Wabaunsee County",75.5,101,2.421,73.1
KS-199,"Wallace County",73.7,105,3.38,70.3
KS-201,"Washington County",75,96,2.388,72.6
KS-203,"Wichita County",73.9,93,2.408,71.5
KS-205,"Wilson County",77,100,1.949,75.1
KS-207,"Woodson County",76.1,98,1.9,74.2
KS-209,"Wyandotte County",76.3,104,2.815,73.5
KY-001,"Adair County",72.9,68,0.438,72.5
KY-003,"Allen County",75.8,104,1.865,73.9
KY-005,"Anderson County",74.3,108,2.292,72
KY-007,"Ballard County",77.3,104,2.171,75.1
KY-009,"Barren County",75.3,94,1.515,73.8
KY-011,"Bath County",72.6,83,1.062,71.5
KY-013,"Bell County",71.9,97,1.548,70.4
KY-015,"Boone County",73.3,99,1.953,71.3
KY-017,"Bourbon County",72.6,88,1.345,71.3
KY-019,"Boyd County",72.3,88,1.465,70.8
KY-021,"Boyle County",73.4,99,1.737,71.7
KY-023,"Bracken County",71.6,66,0.377,71.2
KY-025,"Breathitt County",73.8,103,1.729,72.1
KY-027,"Breckinridge County",73.6,76,0.677,72.9
KY-029,"Bullitt County",75.4,107,2.366,73
KY-031,"Butler County",75.9,103,1.972,73.9
KY-033,"Caldwell County",76.2,89,1.467,74.7
KY-035,"Calloway County",77.1,105,2.043,75.1
KY-037,"Campbell County",73,90,1.299,71.7
KY-039,"Carlisle County",77.2,98,1.906,75.3
KY-041,"Carroll County",73.8,96,1.718,72.1
KY-043,"Carter County",71.5,81,0.977,70.5
KY-045,"Casey County",72.6,83,1.073,71.5
KY-047,"Christian County",75.7,84,1.216,74.5
KY-049,"Clark County",73,94,1.467,71.5
KY-051,"Clay County",73.2,98,1.78,71.4
KY-053,"Clinton County",72.8,73,0.577,72.2
KY-055,"Crittenden County",76,91,1.358,74.6
KY-057,"Cumberland County",73.8,76,0.602,73.2
KY-059,"Daviess County",75.4,89,1.382,74
KY-061,"Edmonson County",75.4,102,1.861,73.5
KY-063,"Elliott County",71.7,79,0.879,70.8
KY-065,"Estill County",73.6,98,1.44,72.2
KY-067,"Fayette County",73.2,99,1.886,71.3
KY-069,"Fleming County",71.7,70,0.513,71.2
KY-071,"Floyd County",72.7,77,0.721,72
KY-073,"Franklin County",74.3,106,2.254,72
KY-075,"Fulton County",77.2,91,1.154,76
KY-077,"Gallatin County",73.8,99,1.945,71.9
KY-079,"Garrard County",73.6,98,1.749,71.9
KY-081,"Grant County",73.2,97,1.714,71.5
KY-083,"Graves County",76.9,95,1.764,75.1
KY-085,"Grayson County",74.4,94,1.563,72.8
KY-087,"Green County",74.3,86,1.123,73.2
KY-089,"Greenup County",71.6,80,1.05,70.6
KY-091,"Hancock County",73.7,66,0.129,73.6
KY-093,"Hardin County",74.4,101,1.835,72.6
KY-095,"Harlan County",70.2,88,1.124,69.1
KY-097,"Harrison County",72.7,86,1.214,71.5
KY-099,"Hart County",74.8,95,1.606,73.2
KY-101,"Henderson County",76.6,99,1.956,74.6
KY-103,"Henry County",73.9,100,2.059,71.8
KY-105,"Hickman County",77,93,1.473,75.5
KY-107,"Hopkins County",76.9,105,2.194,74.7
KY-109,"Jackson County",72.8,100,1.774,71
KY-111,"Jefferson County",75.6,105,2.418,73.2
KY-113,"Jessamine County",73.7,98,2.007,71.7
KY-115,"Johnson County",72.1,73,0.679,71.4
KY-117,"Kenton County",73.1,96,1.749,71.4
KY-119,"Knott County",72.2,86,1.037,71.2
KY-121,"Knox County",72.9,97,1.599,71.3
KY-123,"Larue County",74.3,97,1.713,72.6
KY-125,"Laurel County",73.3,102,2.041,71.3
KY-127,"Lawrence County",72.2,84,1.208,71
KY-129,"Lee County",73.8,100,1.528,72.3
KY-131,"Leslie County",72.3,92,1.376,70.9
KY-133,"Letcher County",70.6,76,0.55,70.1
KY-135,"Lewis County",71,69,0.282,70.7
KY-137,"Lincoln County",72.9,95,1.543,71.4
KY-139,"Livingston County",76,85,1.119,74.9
KY-141,"Logan County",76.3,106,1.999,74.3
KY-143,"Lyon County",76.4,88,1.366,75
KY-145,"McCracken County",76.9,91,1.816,75.1
KY-147,"McCreary County",72.4,86,1.19,71.2
KY-149,"McLean County",76.7,106,2.31,74.4
KY-151,"Madison County",73.6,98,1.627,72
KY-153,"Magoffin County",72.7,88,1.196,71.5
KY-155,"Marion County",74,98,1.678,72.3
KY-157,"Marshall County",77,95,1.697,75.3
KY-159,"Martin County",72.6,78,0.863,71.7
KY-161,"Mason County",71,60,0.052,70.9
KY-163,"Meade County",73.9,84,1.076,72.8
KY-165,"Menifee County",72.6,89,1.21,71.4
KY-167,"Mercer County",74,105,2.138,71.9
KY-169,"Metcalfe County",73.9,83,0.944,73
KY-171,"Monroe County",74.7,94,1.371,73.3
KY-173,"Montgomery County",72.7,91,1.353,71.3
KY-175,"Morgan County",72.5,84,1.05,71.5
KY-177,"Muhlenberg County",76.4,102,2.055,74.3
KY-179,"Nelson County",74.8,107,2.094,72.7
KY-181,"Nicholas County",72.1,76,0.855,71.2
KY-183,"Ohio County",75.3,94,1.612,73.7
KY-185,"Oldham County",74.3,99,2.02,72.3
KY-187,"Owen County",73.6,98,1.872,71.7
KY-189,"Owsley County",73.9,105,1.872,72
KY-191,"Pendleton County",72.7,86,1.07,71.6
KY-193,"Perry County",72.8,93,1.342,71.5
KY-195,"Pike County",72.5,78,0.828,71.7
KY-197,"Powell County",73.3,93,1.363,71.9
KY-199,"Pulaski County",72.9,87,1.262,71.6
KY-201,"Robertson County",71.8,70,0.502,71.3
KY-203,"Rockcastle County",73,99,1.796,71.2
KY-205,"Rowan County",71.8,76,0.7,71.1
KY-207,"Russell County",72.4,61,0.24,72.2
KY-209,"Scott County",73.3,99,1.826,71.5
KY-211,"Shelby County",74.2,104,2.295,71.9
KY-213,"Simpson County",76.4,110,2.301,74.1
KY-215,"Spencer County",74.8,108,2.308,72.5
KY-217,"Taylor County",73.5,84,1.091,72.4
KY-219,"Todd County",75.8,93,1.573,74.2
KY-221,"Trigg County",76.2,86,1.396,74.8
KY-223,"Trimble County",73.7,93,1.656,72
KY-225,"Union County",76.5,97,1.682,74.8
KY-227,"Warren County",76.4,107,2.191,74.2
KY-229,"Washington County",74.3,107,2.104,72.2
KY-231,"Wayne County",72.4,74,0.637,71.8
KY-233,"Webster County",76.9,101,2.202,74.7
KY-235,"Whitley County",72.7,91,1.282,71.4
KY-237,"Wolfe County",73.2,98,1.41,71.8
KY-239,"Woodford County",74,106,2.258,71.7
LA-001,"Acadia Parish",83.4,122,2.474,80.9
LA-003,"Allen Parish",83.3,122,3.015,80.3
