"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-081,"Little River County",80.6,115,2.697,77.9
AR-083,"Logan County",77.3,89,1.094,76.2
AR-085,"Lonoke County",79.1,97,1.24,77.9
AR-087,"Madison County",74.3,104,2.115,72.2
AR-089,"Marion County",76.1,108,2.508,73.6
AR-091,"Miller County",81.4,114,2.584,78.8
AR-093,"Mississippi County",79.1,93,1.294,77.8
AR-095,"Monroe County",79.8,104,1.521,78.3
AR-097,"Montgomery County",77.1,97,1.442,75.7
AR-099,"Nevada County",79,90,0.857,78.1
AR-101,"Newton County",73.9,100,1.688,72.2
AR-103,"Ouachita County",79.2,89,0.809,78.4
AR-105,"Perry County",78,89,1.129,76.9
AR-107,"Phillips County",79.6,97,1.205,78.4
AR-109,"Pike County",78.1,99,1.499,76.6
AR-111,"Poinsett County",79.2,97,1.651,77.5
AR-113,"Polk County",75.9,94,1.375,74.5
AR-115,"Pope County",76.2,84,0.978,75.2
AR-117,"Prairie County",79.6,103,1.537,78.1
AR-119,"Pulaski County",78.7,93,1.137,77.6
AR-121,"Randolph County",77.5,102,2.159,75.3
AR-123,"St. Francis County",79.9,106,1.718,78.2
AR-125,"Saline County",78.1,88,1.08,77
AR-127,"Scott County",76.8,94,1.341,75.5
AR-129,"Searcy County",74.8,102,1.624,73.2
AR-131,"Sebastian County",78.2,98,1.77,76.4
AR-133,"Sevier County",79.4,112,2.397,77
AR-135,"Sharp County",76,96,1.805,74.2
AR-137,"Stone County",75.5,100,1.657,73.8
AR-139,"Union County",80,107,1.602,78.4
AR-141,"Van Buren County",75.7,99,1.444,74.3
AR-143,"Washington County",75.5,106,2.344,73.2
AR-145,"White County",78.5,104,1.881,76.6
AR-147,"Woodruff County",79.4,104,1.788,77.6
AR-149,"Yell County",77.7,85,1.105,76.6
CA-001,"Alameda County",69.8,127,4.755,65
CA-003,"Alpine County",55.7,97,2.39,53.3
CA-005,"Amador County",71.3,114,4.027,67.3
CA-007,"Butte County",73.8,114,3.669,70.1
CA-009,"Calaveras County",72,117,4.163,67.8
CA-011,"Colusa County",75.1,109,2.828,72.3
CA-013,"Contra Costa County",72.2,127,5.294,66.9
CA-015,"Del Norte County",59.6,95,1.313,58.3
CA-017,"El Dorado County",66.1,108,2.82,63.3
CA-019,"Fresno County",69.8,114,4.224,65.6
CA-021,"Glenn County",73.8,110,2.597,71.2
CA-023,"Humboldt County",62.7,114,2.743,60
CA-025,"Imperial County",90.7,124,5.129,85.6
CA-027,"Inyo County",77.6,104,3.581,74
CA-029,"Kern County",77,117,4.496,72.5
CA-031,"Kings County",78.6,115,3.907,74.7
CA-033,"Lake County",68.2,100,2.092,66.1
CA-035,"Lassen County",59.4,83,1.269,58.1
CA-037,"Los Angeles County",74,124,6.108,67.9
CA-039,"Madera County",70.6,116,4.197,66.4
CA-041,"Marin County",62.3,125,3.532,58.8
CA-043,"Mariposa County",69,113,3.771,65.2
CA-045,"Mendocino County",64.2,107,2.263,61.9
CA-047,"Merced County",76.5,122,4.376,72.1
CA-049,"Modoc County",59.6,94,2.403,57.2
CA-051,"Mono County",57.9,96,2.569,55.3
CA-053,"Monterey County",69.3,128,5.163,64.1
CA-055,"Napa County",71.2,122,3.886,67.3
CA-057,"Nevada County",64,92,2.09,61.9
CA-059,"Orange County",71.8,126,5.194,66.6
CA-061,"Placer County",65.8,100,2.549,63.3
CA-063,"Plumas County",59.4,86,1.609,57.8
CA-065,"Riverside County",84.8,125,6.046,78.8
